Age group,Sex,Number of people
0,F,388129
1,F,385376
2,F,383199
3,F,381659
4,F,373096
5,F,364065
6,F,347273
7,F,343175
8,F,330513
9,F,331590
10,F,341090
11,F,350726
12,F,359875
13,F,365950
14,F,372847
15,F,375363
16,F,377248
17,F,386590
18,F,397498
19,F,419028
20,F,425888
21,F,418121
22,F,425445
23,F,434588
24,F,429015
25,F,430138
26,F,432373
27,F,429113
28,F,432582
29,F,437080
30,F,442199
31,F,435401
32,F,411141
33,F,388723
34,F,388673
35,F,396842
36,F,406654
37,F,415814
38,F,435967
39,F,456890
40,F,466723
41,F,458286
42,F,471542
43,F,469702
44,F,475480
45,F,477982
46,F,482278
47,F,473835
48,F,464572
49,F,450861
50,F,438712
51,F,418991
52,F,413744
53,F,404623
54,F,389636
55,F,374194
56,F,367662
57,F,368877
58,F,361491
59,F,356256
60,F,359598
61,F,371268
62,F,379526
63,F,412526
64,F,416144
65,F,321433
66,F,339297
67,F,319562
68,F,305057
69,F,268776
70,F,259537
71,F,269681
72,F,265331
73,F,256833
74,F,248742
75,F,238578
76,F,228831
77,F,215746
78,F,212297
79,F,207134
80,F,203348
81,F,189577
82,F,176282
83,F,161188
84,F,153338
85,F,141411
86,F,128910
87,F,118368
88,F,106659
89,F,98932
90,F,89618
91,F,68589
92,F,42869
93,F,33023
94,F,30254
95,F,23774
96,F,19307
97,F,13981
98,F,9706
99,F,6427
100 and over,F,10193
0,M,407365
1,M,403127
2,M,399597
3,M,401650
4,M,390755
5,M,380468
6,M,363984
7,M,359982
8,M,347884
9,M,347681
10,M,356571
11,M,369509
12,M,377620
13,M,383672
14,M,391466
15,M,399529
16,M,397350
17,M,407753
18,M,411588
19,M,424505
20,M,447432
21,M,433609
22,M,430334
23,M,433746
24,M,419020
25,M,435241
26,M,430806
27,M,425391
28,M,425128
29,M,428488
30,M,437595
31,M,432334
32,M,411747
33,M,387624
34,M,390012
35,M,391313
36,M,401624
37,M,410101
38,M,429969
39,M,449303
40,M,453430
41,M,447356
42,M,458079
43,M,458591
44,M,466446
45,M,464741
46,M,469717
47,M,461419
48,M,454785
49,M,442910
50,M,431315
51,M,411549
52,M,405871
53,M,398161
54,M,381852
55,M,367483
56,M,358924
57,M,360725
58,M,351768
59,M,346698
60,M,347932
61,M,357350
62,M,366898
63,M,397077
64,M,399655
65,M,306635
66,M,322473
67,M,302191
68,M,284518
69,M,247538
70,M,235965
71,M,243910
72,M,237242
73,M,228578
74,M,216926
75,M,203623
76,M,192863
77,M,177200
78,M,169341
79,M,160406
80,M,151307
81,M,135432
82,M,122000
83,M,107690
84,M,98734
85,M,86632
86,M,73838
87,M,63423
88,M,53466
89,M,46704
90,M,39225
91,M,27900
92,M,15863
93,M,11418
94,M,9666
95,M,7114
96,M,5356
97,M,3503
98,M,2371
99,M,1412
100 and over,M,2075
