year,sex,age_group,country,birth_number
2001,m,0,ni,11288
2002,m,0,ni,10874
2003,m,0,ni,11244
2004,m,0,ni,11477
2005,m,0,ni,11341
2006,m,0,ni,12010
2007,m,0,ni,12516
2008,m,0,ni,13204
2009,m,0,ni,12799
2010,m,0,ni,12917
2011,m,0,ni,12825
2012,m,0,ni,12999
2013,m,0,ni,12388
2014,m,0,ni,12543
2015,m,0,ni,12493
2016,m,0,ni,12425
2017,m,0,ni,11898
2018,m,0,ni,11613
2019,m,0,ni,11666
2020,m,0,ni,10772
2021,m,0,ni,11340
2001,f,0,ni,10674
2002,f,0,ni,10511
2003,f,0,ni,10404
2004,f,0,ni,10841
2005,f,0,ni,10987
2006,f,0,ni,11262
2007,f,0,ni,11935
2008,f,0,ni,12427
2009,f,0,ni,12111
2010,f,0,ni,12398
2011,f,0,ni,12448
2012,f,0,ni,12270
2013,f,0,ni,11889
2014,f,0,ni,11851
2015,f,0,ni,11722
2016,f,0,ni,11651
2017,f,0,ni,11177
2018,f,0,ni,11216
2019,f,0,ni,10781
2020,f,0,ni,10043
2021,f,0,ni,10731
2001,m,0,s,26786
2002,m,0,s,26218
2003,m,0,s,26906
2004,m,0,s,27769
2005,m,0,s,28083
2006,m,0,s,28473
2007,m,0,s,29694
2008,m,0,s,30570
2009,m,0,s,30165
2010,m,0,s,29872
2011,m,0,s,30111
2012,m,0,s,29713
2013,m,0,s,28828
2014,m,0,s,29056
2015,m,0,s,28354
2016,m,0,s,28236
2017,m,0,s,27215
2018,m,0,s,26332
2019,m,0,s,25687
2020,m,0,s,23972
2021,m,0,s,24542
2001,f,0,s,25741
2002,f,0,s,25052
2003,f,0,s,25526
2004,f,0,s,26188
2005,f,0,s,26303
2006,f,0,s,27217
2007,f,0,s,28087
2008,f,0,s,29471
2009,f,0,s,28881
2010,f,0,s,28919
2011,f,0,s,28479
2012,f,0,s,28314
2013,f,0,s,27186
2014,f,0,s,27669
2015,f,0,s,26744
2016,f,0,s,26252
2017,f,0,s,25646
2018,f,0,s,24976
2019,f,0,s,24176
2020,f,0,s,22837
2021,f,0,s,23244
2021,f,0,e,290660
2020,f,0,e,285458
2019,f,0,e,296673
2018,f,0,e,304138
2017,f,0,e,315250
2016,f,0,e,322998
2015,f,0,e,323301
2014,f,0,e,322117
2013,f,0,e,323661
2012,f,0,e,337990
2011,f,0,e,335388
2010,f,0,e,334622
2009,f,0,e,326921
2008,f,0,e,328336
2007,f,0,e,318635
2006,f,0,e,310702
2005,f,0,e,299317
2004,f,0,e,295597
2003,f,0,e,287647
2002,f,0,e,275315
2001,f,0,e,274999
2021,m,0,e,305288
2020,m,0,e,299737
2019,m,0,e,313832
2018,m,0,e,321513
2017,m,0,e,331544
2016,m,0,e,340159
2015,m,0,e,341098
2014,m,0,e,339384
2013,m,0,e,340856
2012,m,0,e,356251
2011,m,0,e,352730
2010,m,0,e,352384
2009,m,0,e,344137
2008,m,0,e,344473
2007,m,0,e,336722
2006,m,0,e,325046
2005,m,0,e,313712
2004,m,0,e,311588
2003,m,0,e,302204
2002,m,0,e,290394
2001,m,0,e,288743
2021,f,0,w,14000
2020,f,0,w,13952
2019,f,0,w,14513
2018,f,0,w,15281
2017,f,0,w,15714
2016,f,0,w,16130
2015,f,0,w,16336
2014,f,0,w,16251
2013,f,0,w,16360
2012,f,0,w,17246
2011,f,0,w,17454
2010,f,0,w,17475
2009,f,0,w,17074
2008,f,0,w,17303
2007,f,0,w,16773
2006,f,0,w,16374
2005,f,0,w,15809
2004,f,0,w,15685
2003,f,0,w,15287
2002,f,0,w,14641
2001,f,0,w,14872
2021,m,0,w,14781
2020,m,0,w,14686
2019,m,0,w,15191
2018,m,0,w,15993
2017,m,0,w,16462
2016,m,0,w,16806
2015,m,0,w,16943
2014,m,0,w,17290
2013,m,0,w,17387
2012,m,0,w,17992
2011,m,0,w,18146
2010,m,0,w,18477
2009,m,0,w,17863
2008,m,0,w,18347
2007,m,0,w,17641
2006,m,0,w,17254
2005,m,0,w,16783
2004,m,0,w,16639
2003,m,0,w,16113
2002,m,0,w,15564
2001,m,0,w,15746
